sample_id,split,original_process,ai_process,rules,judge,hybrid,call_status
AES/2003/page_93.pdf-3::challenge,test,incorrect,incorrect,incorrect,uncertain,incorrect,request_failed
AES/2003/page_93.pdf-3::clean,test,correct,correct,correct,correct,correct,complete
AES/2003/page_93.pdf-3::local,test,incorrect,incorrect,incorrect,uncertain,incorrect,request_failed
ALXN/2015/page_59.pdf-2::challenge,dev,incorrect,incorrect,incorrect,incorrect,incorrect,complete
ALXN/2015/page_59.pdf-2::clean,dev,correct,uncertain,correct,correct,correct,complete
ALXN/2015/page_59.pdf-2::local,dev,incorrect,incorrect,incorrect,incorrect,incorrect,complete
AMT/2015/page_58.pdf-2::challenge,dev,incorrect,incorrect,uncertain,incorrect,incorrect,complete
AMT/2015/page_58.pdf-2::clean,dev,correct,correct,correct,correct,correct,complete
AMT/2015/page_58.pdf-2::local,dev,incorrect,incorrect,incorrect,incorrect,incorrect,complete
AON/2015/page_62.pdf-4::challenge,test,incorrect,incorrect,uncertain,uncertain,uncertain,request_failed
AON/2015/page_62.pdf-4::clean,test,correct,correct,correct,correct,correct,complete
AON/2015/page_62.pdf-4::local,test,incorrect,incorrect,incorrect,uncertain,incorrect,request_failed
AOS/2007/page_17.pdf-2::challenge,test,incorrect,incorrect,uncertain,incorrect,incorrect,complete
AOS/2007/page_17.pdf-2::clean,test,correct,correct,correct,correct,correct,complete
AOS/2007/page_17.pdf-2::local,test,incorrect,incorrect,incorrect,incorrect,incorrect,complete
BLK/2012/page_82.pdf-3::challenge,test,incorrect,incorrect,uncertain,uncertain,uncertain,request_failed
BLK/2012/page_82.pdf-3::clean,test,correct,correct,correct,correct,correct,complete
BLK/2012/page_82.pdf-3::local,test,incorrect,incorrect,incorrect,incorrect,incorrect,complete
BLK/2014/page_33.pdf-4::challenge,dev,incorrect,incorrect,uncertain,incorrect,incorrect,complete
BLK/2014/page_33.pdf-4::clean,dev,correct,correct,correct,correct,correct,complete
BLK/2014/page_33.pdf-4::local,dev,incorrect,incorrect,incorrect,incorrect,incorrect,complete
BLK/2017/page_77.pdf-2::challenge,dev,incorrect,incorrect,uncertain,incorrect,incorrect,complete
BLK/2017/page_77.pdf-2::clean,dev,correct,correct,correct,correct,correct,complete
