id,split,difficulty,source,gold_process,pred_process,gold_first,pred_first,answer_correct,call_status
RCL/2016/page_37.pdf-2::clean,dev,hard,reference_derived,correct,correct,,,True,complete
RCL/2016/page_37.pdf-2::local,dev,hard,controlled_mutation,incorrect,incorrect,s1,s1,False,complete
RCL/2016/page_37.pdf-2::challenge,dev,hard,controlled_mutation,incorrect,uncertain,s1,,False,complete
IQV/2018/page_106.pdf-1::clean,dev,easy,reference_derived,correct,correct,,,True,complete
IQV/2018/page_106.pdf-1::local,dev,easy,controlled_mutation,incorrect,incorrect,s1,s1,False,complete
IQV/2018/page_106.pdf-1::challenge,dev,easy,controlled_mutation,incorrect,incorrect,s1,s1,True,complete
PPG/2006/page_22.pdf-1::clean,dev,easy,reference_derived,correct,correct,,,True,complete
PPG/2006/page_22.pdf-1::local,dev,easy,controlled_mutation,incorrect,incorrect,s1,s1,True,complete
PPG/2006/page_22.pdf-1::challenge,dev,easy,controlled_mutation,incorrect,uncertain,s1,,False,complete
WRK/2018/page_39.pdf-5::clean,dev,medium,reference_derived,correct,correct,,,True,complete
WRK/2018/page_39.pdf-5::local,dev,medium,controlled_mutation,incorrect,incorrect,s1,s1,False,complete
WRK/2018/page_39.pdf-5::challenge,dev,medium,controlled_mutation,incorrect,incorrect,s2,s2,True,complete
C/2015/page_314.pdf-1::clean,dev,medium,reference_derived,correct,correct,,,True,complete
C/2015/page_314.pdf-1::local,dev,medium,controlled_mutation,incorrect,incorrect,s1,s1,False,complete
C/2015/page_314.pdf-1::challenge,dev,medium,controlled_mutation,incorrect,uncertain,s1,,False,complete
ALXN/2015/page_59.pdf-2::clean,dev,hard,reference_derived,correct,correct,,,True,complete
ALXN/2015/page_59.pdf-2::local,dev,hard,controlled_mutation,incorrect,incorrect,s1,s1,True,complete
ALXN/2015/page_59.pdf-2::challenge,dev,hard,controlled_mutation,incorrect,incorrect,s3,s3,True,complete
BLK/2014/page_33.pdf-4::clean,dev,easy,reference_derived,correct,correct,,,True,complete
BLK/2014/page_33.pdf-4::local,dev,easy,controlled_mutation,incorrect,incorrect,s1,s1,False,complete
BLK/2014/page_33.pdf-4::challenge,dev,easy,controlled_mutation,incorrect,uncertain,s1,,False,complete
CB/2008/page_218.pdf-2::clean,test,easy,reference_derived,correct,correct,,,True,complete
CB/2008/page_218.pdf-2::local,test,easy,controlled_mutation,incorrect,incorrect,s1,s1,False,complete
CB/2008/page_218.pdf-2::challenge,test,easy,controlled_mutation,incorrect,incorrect,s1,s1,True,complete
GS/2012/page_177.pdf-3::clean,test,easy,reference_derived,correct,correct,,,True,complete
GS/2012/page_177.pdf-3::local,test,easy,controlled_mutation,incorrect,incorrect,s1,s1,True,complete
GS/2012/page_177.pdf-3::challenge,test,easy,controlled_mutation,incorrect,uncertain,s1,,False,complete
PNC/2013/page_205.pdf-1::clean,test,easy,reference_derived,correct,correct,,,True,complete
PNC/2013/page_205.pdf-1::local,test,easy,controlled_mutation,incorrect,incorrect,s1,s1,False,complete
PNC/2013/page_205.pdf-1::challenge,test,easy,controlled_mutation,incorrect,incorrect,s1,s1,True,complete
BLK/2017/page_77.pdf-2::clean,dev,medium,reference_derived,correct,correct,,,True,complete
BLK/2017/page_77.pdf-2::local,dev,medium,controlled_mutation,incorrect,incorrect,s1,s1,False,complete
BLK/2017/page_77.pdf-2::challenge,dev,medium,controlled_mutation,incorrect,uncertain,s1,,False,complete
C/2008/page_105.pdf-1::clean,dev,hard,reference_derived,correct,correct,,,True,complete
C/2008/page_105.pdf-1::local,dev,hard,controlled_mutation,incorrect,incorrect,s1,s1,True,complete
C/2008/page_105.pdf-1::challenge,dev,hard,controlled_mutation,incorrect,incorrect,s3,s3,True,complete
AMT/2015/page_58.pdf-2::clean,dev,hard,reference_derived,correct,correct,,,True,complete
AMT/2015/page_58.pdf-2::local,dev,hard,controlled_mutation,incorrect,incorrect,s1,s1,False,complete
AMT/2015/page_58.pdf-2::challenge,dev,hard,controlled_mutation,incorrect,uncertain,s1,,False,complete
ETR/2017/page_422.pdf-2::clean,test,easy,reference_derived,correct,correct,,,True,complete
ETR/2017/page_422.pdf-2::local,test,easy,controlled_mutation,incorrect,incorrect,s1,s1,False,complete
ETR/2017/page_422.pdf-2::challenge,test,easy,controlled_mutation,incorrect,incorrect,s1,s1,True,complete
JPM/2009/page_183.pdf-3::clean,test,easy,reference_derived,correct,correct,,,True,complete
JPM/2009/page_183.pdf-3::local,test,easy,controlled_mutation,incorrect,incorrect,s1,s1,True,complete
JPM/2009/page_183.pdf-3::challenge,test,easy,controlled_mutation,incorrect,uncertain,s1,,False,complete
MRO/2013/page_23.pdf-4::clean,test,easy,reference_derived,correct,correct,,,True,complete
MRO/2013/page_23.pdf-4::local,test,easy,controlled_mutation,incorrect,incorrect,s1,s1,False,complete
MRO/2013/page_23.pdf-4::challenge,test,easy,controlled_mutation,incorrect,incorrect,s1,s1,True,complete
PPG/2010/page_45.pdf-2::clean,test,medium,reference_derived,correct,correct,,,True,complete
PPG/2010/page_45.pdf-2::local,test,medium,controlled_mutation,incorrect,incorrect,s1,s1,False,complete
PPG/2010/page_45.pdf-2::challenge,test,medium,controlled_mutation,incorrect,uncertain,s1,,False,complete
INTC/2018/page_105.pdf-2::clean,test,easy,reference_derived,correct,correct,,,True,complete
INTC/2018/page_105.pdf-2::local,test,easy,controlled_mutation,incorrect,incorrect,s1,s1,True,complete
INTC/2018/page_105.pdf-2::challenge,test,easy,controlled_mutation,incorrect,incorrect,s1,s1,True,complete
UNP/2013/page_25.pdf-2::clean,test,medium,reference_derived,correct,correct,,,True,complete
UNP/2013/page_25.pdf-2::local,test,medium,controlled_mutation,incorrect,incorrect,s1,s1,False,complete
UNP/2013/page_25.pdf-2::challenge,test,medium,controlled_mutation,incorrect,uncertain,s1,,False,complete
UNP/2010/page_55.pdf-1::clean,test,hard,reference_derived,correct,correct,,,True,complete
UNP/2010/page_55.pdf-1::local,test,hard,controlled_mutation,incorrect,incorrect,s2,s2,False,complete
UNP/2010/page_55.pdf-1::challenge,test,hard,controlled_mutation,incorrect,incorrect,s3,s3,True,complete
AOS/2007/page_17.pdf-2::clean,test,hard,reference_derived,correct,correct,,,True,complete
AOS/2007/page_17.pdf-2::local,test,hard,controlled_mutation,incorrect,incorrect,s1,s1,True,complete
AOS/2007/page_17.pdf-2::challenge,test,hard,controlled_mutation,incorrect,uncertain,s1,,False,complete
C/2009/page_195.pdf-2::clean,test,medium,reference_derived,correct,correct,,,True,complete
C/2009/page_195.pdf-2::local,test,medium,controlled_mutation,incorrect,incorrect,s1,s1,False,complete
C/2009/page_195.pdf-2::challenge,test,medium,controlled_mutation,incorrect,incorrect,s2,s2,True,complete
AON/2015/page_62.pdf-4::clean,test,medium,reference_derived,correct,correct,,,True,complete
AON/2015/page_62.pdf-4::local,test,medium,controlled_mutation,incorrect,incorrect,s1,s1,False,complete
AON/2015/page_62.pdf-4::challenge,test,medium,controlled_mutation,incorrect,uncertain,s1,,False,complete
AES/2003/page_93.pdf-3::clean,test,medium,reference_derived,correct,correct,,,True,complete
AES/2003/page_93.pdf-3::local,test,medium,controlled_mutation,incorrect,incorrect,s1,s1,True,complete
AES/2003/page_93.pdf-3::challenge,test,medium,controlled_mutation,incorrect,incorrect,s2,s2,True,complete
UNP/2008/page_83.pdf-1::clean,test,hard,reference_derived,correct,correct,,,True,complete
UNP/2008/page_83.pdf-1::local,test,hard,controlled_mutation,incorrect,incorrect,s1,s1,False,complete
UNP/2008/page_83.pdf-1::challenge,test,hard,controlled_mutation,incorrect,uncertain,s1,,False,complete
MSI/2008/page_73.pdf-2::clean,test,medium,reference_derived,correct,correct,,,True,complete
MSI/2008/page_73.pdf-2::local,test,medium,controlled_mutation,incorrect,incorrect,s2,s2,False,complete
MSI/2008/page_73.pdf-2::challenge,test,medium,controlled_mutation,incorrect,incorrect,s2,s2,True,complete
BLK/2012/page_82.pdf-3::clean,test,medium,reference_derived,correct,correct,,,True,complete
BLK/2012/page_82.pdf-3::local,test,medium,controlled_mutation,incorrect,incorrect,s1,s1,True,complete
BLK/2012/page_82.pdf-3::challenge,test,medium,controlled_mutation,incorrect,uncertain,s1,,False,complete
DRE/2016/page_64.pdf-3::clean,test,hard,reference_derived,correct,correct,,,True,complete
DRE/2016/page_64.pdf-3::local,test,hard,controlled_mutation,incorrect,incorrect,s1,s1,False,complete
DRE/2016/page_64.pdf-3::challenge,test,hard,controlled_mutation,incorrect,incorrect,s3,s3,True,complete
CME/2017/page_99.pdf-4::clean,test,hard,reference_derived,correct,correct,,,True,complete
CME/2017/page_99.pdf-4::local,test,hard,controlled_mutation,incorrect,incorrect,s2,s2,False,complete
